,1 day,4 hour,1 hour,open
mmm,43.29000000000008,18.531700000000015,-9.451300000000032,130.59707691958909
abt,2.3549999999999756,15.435399999999944,-10.793200000000041,114.36118296569003
abbv,16.245000000000203,11.76049999999995,-2.3811999999998363,164.25024455988515
acn,115.98999999999947,57.41682699999993,35.446826999999644,289.2073710953841
atvi,-2.31880000000001,-6.215899999999991,4.745799999999974,79.81413219829668
adbe,49.69060000000013,-8.554400000000385,-28.315500000000327,398.6832824519741
amd,54.03800000000003,-10.820000000000121,-9.755400000000023,99.3925263964625
aes,-2.0899999999999856,2.497445000000017,2.688899999999986,21.157689657144473
afl,10.76999999999996,3.6909000000000702,-4.029499999999999,57.00217076627094
a,-6.5999999999999375,18.85071500000005,-4.302315000000078,121.98915308974404
akam,4.230099999999965,-28.665800000000004,-14.755999999999986,100.21342842928655
alk,-1.0699999999999719,3.4235000000000113,6.2476999999999805,46.89342201128684
alb,-28.975100000000566,44.61465800000008,62.05865800000038,238.75170002066486
are,-23.65000000000005,3.7499999999998863,-4.045999999999964,144.86298399443413
algn,105.74999999999994,20.736818000000596,-5.589118000000269,256.43063555355343
alle,-13.684999999999846,-8.753999999999792,-9.219399999999908,105.13056410726041
lnt,3.435000000000052,-11.350541999999983,-2.077342000000023,59.509408966451794
all,20.60000000000008,-13.302400000000048,1.9679999999999893,128.5100614516971
googl,58.75169999999993,23.4670000000001,-15.095100000000002,107.16997031625553
goog,60.682699999999954,-4.1887999999999295,15.259699999999924,104.15184368003811
mo,-5.190000000000005,-7.4683999999999955,13.00790000000002,50.06089076356149
amzn,16.99650000000007,-30.768299999999897,-1.9475000000000051,111.92617689061962
amcr,-1.0950000000000113,-0.28859999999998465,-1.0581999999999852,12.62162199080323
aee,-8.989999999999881,-17.375960000000006,-3.0246599999998693,90.5881503535335
aal,0.8199999999999736,-1.0053999999999839,0.21169999999999334,13.263794726741368
aep,15.259999999999906,-12.797666000000092,-6.723766000000026,96.00344148255127
axp,5.7549999999999955,9.00159999999994,23.629099999999767,162.02539575306088
aig,-3.1050000000000253,5.747700000000066,-4.721600000000059,60.41552436885617
amt,14.100000000000279,1.6322999999997876,-44.982200000000006,249.918804404547
awk,3.0899999999998187,-15.657700000000318,5.564999999999685,146.18473499342122
amp,82.48000000000008,3.036000000000172,16.285199999999747,258.7956653001486
abc,14.680000000000206,9.838300000000203,15.2547000000001,152.10749867304943
ame,7.960000000000193,1.411313999999905,0.14838600000004476,115.88948995318874
amgn,-48.89300000000023,-5.495200000000068,8.046999999999912,246.17700178610164
aph,-15.035000000000018,11.657000000000131,1.1712999999999667,67.40380305008905
adi,-38.269900000000064,-2.166099999999915,7.816200000000123,153.88930618096913
antm,-71.21000000000066,9.892390999999975,29.02419999999961,391.64635315958066
aon,95.32499999999959,8.686600000000396,-6.051600000000462,266.4865632703925
aos,8.710000000000008,4.560599999999937,0.4861000000000075,57.68438734065496
apa,6.162999999999997,6.915200000000048,0.4651999999999461,46.453163621751635
aapl,77.31199999999998,31.887700000000166,-3.6975000000003035,144.48138702192745
amat,54.41020000000013,0.3727000000001226,1.893199999999922,110.88983444474941
aptv,-25.730000000000018,9.70669999999997,-7.745900000000006,98.56006030628741
adm,17.14000000000017,-2.194800000000015,-10.057199999999938,82.78492198009278
anet,44.33500000000005,-3.0485999999998654,23.76699999999991,119.47984290194687
ajg,38.88499999999996,15.573099999999926,19.07169999999985,160.62331222876347
aiz,-43.64999999999981,-45.98870000000011,3.697400000000073,177.47994618981653
t,-0.7050000000000214,3.7542000000000044,2.0588999999999977,20.938946292234537
ato,0.9800000000000182,-11.20115299999999,-1.3081529999999333,112.19453492250959
adsk,52.144999999999925,46.389200000000244,5.365800000000206,189.2764141841457
adp,12.689999999999685,22.277899999999903,-19.731100000000026,213.97459740562525
azo,-583.9700000000009,168.2655639999989,96.52746399999864,2022.572361048721
avb,12.529999999999632,-24.75679999999977,10.99729999999974,198.51095525478712
avy,22.859999999999843,4.265799999999899,-0.6189999999999998,167.27823618604702
bkr,-11.677999999999997,-2.6879000000000026,-1.4129000000000218,25.35739049246245
bll,8.299999999999898,-0.4175950000000057,-7.802199999999985,90.23359023871006
bac,-2.760000000000005,-3.5529999999999227,-7.048899999999893,34.286146290122446
bk,5.685000000000002,2.367599999999996,-0.03190000000002868,43.95076498779478
bax,15.39000000000005,-11.081100000000077,-2.1921000000000532,66.11222185329162
bdx,-6.080000000000354,-13.815243999999808,-12.51444399999977,250.74452583154357
brk.b,-20.939000000000135,-26.29219999999941,36.57850000000042,308.96656282775075
bby,-15.714999999999876,1.562799999999939,-7.6638999999999555,76.32290342164418
bio,-21.24000000000001,-47.63909999999976,44.77110000000016,510.1404878300883
biib,-19.479999999999876,16.221499999999992,-10.718199999999939,207.15031499024448
blk,-227.9799999999994,55.554500000000075,-42.62250000000108,634.079635801769
ba,131.13499999999974,23.989900000000063,0.6667000000000343,127.73106226235717
bkng,-1156.1350000000032,248.2059999999983,-186.88080000000286,2132.7312779609315
bwa,10.95,-1.4444239999999837,-3.650675999999983,37.99623677626109
bxp,-41.75999999999989,-19.588099999999997,2.8091000000001003,89.53413639580758
bsx,-7.510099999999994,1.3603999999999843,2.0334000000000074,39.08907131471159
bmy,12.930000000000078,5.180199999999971,5.60599999999998,76.48538061127012
avgo,-101.05489999999918,-26.774799999999686,-26.08519999999976,539.8482905100527
br,25.610000000000042,12.541105999999928,-19.110905999999858,141.65463880455474
bf.b,-4.25,-5.610800000000047,-4.498999999999938,67.46263077556416
chrw,12.735000000000056,-4.265799999999885,-1.1026999999999703,104.3130553902651
cog,-1.3601000000000116,0.713500000000014,1.5225000000000009,17.439909068741656
cdns,89.18000000000004,26.811600000000027,23.090299999999928,151.10431381783977
czr,-4.314599999999956,-15.91259999999999,10.403299999999959,46.4383185310036
cpb,-0.6049999999999329,-2.172900000000027,0.3942000000000121,47.038920807375696
cof,34.9549999999998,-1.4521000000001862,8.542300000000054,109.49847828054573
